"x","x+sin(x)"
0.000000, 0.000000
0.100000, 0.199833
0.200000, 0.398669
0.300000, 0.595520
0.400000, 0.789418
0.500000, 0.979426
0.600000, 1.164642
0.700000, 1.344218
0.800000, 1.517356
0.900000, 1.683327
1.000000, 1.841471
1.100000, 1.991207
1.200000, 2.132039
1.300000, 2.263558
1.400000, 2.385450
1.500000, 2.497495
1.600000, 2.599574
1.700000, 2.691665
1.800000, 2.773848
1.900000, 2.846300
2.000000, 2.909297
2.100000, 2.963209
2.200000, 3.008496
2.300000, 3.045705
2.400000, 3.075463
2.500000, 3.098472
2.600000, 3.115501
2.700000, 3.127380
2.800000, 3.134988
2.900000, 3.139249
3.000000, 3.141120
3.100000, 3.141581
3.200000, 3.141626
3.300000, 3.142254
3.400000, 3.144459
3.500000, 3.149217
3.600000, 3.157480
3.700000, 3.170164
3.800000, 3.188142
3.900000, 3.212234
4.000000, 3.243198
4.100000, 3.281723
4.200000, 3.328424
4.300000, 3.383834
4.400000, 3.448398
4.500000, 3.522470
4.600000, 3.606309
4.700000, 3.700077
4.800000, 3.803835
4.900000, 3.917547
5.000000, 4.041076
5.100000, 4.174185
5.200000, 4.316545
5.300000, 4.467733
5.400000, 4.627236
5.500000, 4.794460
5.600000, 4.968733
5.700000, 5.149314
5.800000, 5.335398
5.900000, 5.526123
6.000000, 5.720585
6.100000, 5.917837
6.200000, 6.116911
6.300000, 6.316814
6.400000, 6.516549
6.500000, 6.715120
6.600000, 6.911541
6.700000, 7.104850
6.800000, 7.294113
6.900000, 7.478440
7.000000, 7.656987
7.100000, 7.828969
7.200000, 7.993668
7.300000, 8.150437
7.400000, 8.298708
7.500000, 8.438000
7.600000, 8.567920
7.700000, 8.688168
7.800000, 8.798543
7.900000, 8.898941
8.000000, 8.989358
8.100000, 9.069890
8.200000, 9.140731
8.300000, 9.202172
8.400000, 9.254599
8.500000, 9.298487
8.600000, 9.334397
8.700000, 9.362969
8.800000, 9.384917
8.900000, 9.401021
9.000000, 9.412118
9.100000, 9.419098
9.200000, 9.422890
9.300000, 9.424454
9.400000, 9.424775
9.500000, 9.424849
9.600000, 9.425673
9.700000, 9.428239
9.800000, 9.433521
9.900000, 9.442464
10.000000, 9.455979
10.100000, 9.474929
10.200000, 9.500125
10.300000, 9.532314
10.400000, 9.572174
10.500000, 9.620304
10.600000, 9.677225
10.700000, 9.743365
10.800000, 9.819064
10.900000, 9.904564
11.000000, 10.000010
11.100000, 10.105447
11.200000, 10.220822
11.300000, 10.345981
11.400000, 10.480671
11.500000, 10.624548
11.600000, 10.777171
11.700000, 10.938016
11.800000, 11.106475
11.900000, 11.281863
12.000000, 11.463427
12.100000, 11.650353
12.200000, 11.841771
12.300000, 12.036768
12.400000, 12.234396
12.500000, 12.433678
12.600000, 12.633623
12.700000, 12.833232
12.800000, 13.031510
12.900000, 13.227474
13.000000, 13.420167
13.100000, 13.608661
13.200000, 13.792074
13.300000, 13.969570
13.400000, 14.140376
13.500000, 14.303784
13.600000, 14.459162
13.700000, 14.605955
13.800000, 14.743696
13.900000, 14.872008
14.000000, 14.990607
14.100000, 15.099309
14.200000, 15.198027
14.300000, 15.286772
14.400000, 15.365658
14.500000, 15.434895
14.600000, 15.494791
14.700000, 15.545747
14.800000, 15.588252
14.900000, 15.622881
15.000000, 15.650288
15.100000, 15.671197
15.200000, 15.686399
15.300000, 15.696741
15.400000, 15.703118
15.500000, 15.706467
15.600000, 15.707754
15.700000, 15.707963
15.800000, 15.708093
15.900000, 15.709141
16.000000, 15.712097
16.100000, 15.717929
16.200000, 15.727578
16.300000, 15.741948
16.400000, 15.761893
16.500000, 15.788215
16.600000, 15.821648
16.700000, 15.862858
16.800000, 15.912433
16.900000, 15.970876
17.000000, 16.038603
17.100000, 16.115935
17.200000, 16.203100
17.300000, 16.300226
17.400000, 16.407341
17.500000, 16.524374
17.600000, 16.651156
17.700000, 16.787418
17.800000, 16.932798
17.900000, 17.086843
18.000000, 17.249013
18.100000, 17.418686
18.200000, 17.595167
18.300000, 17.777691
18.400000, 17.965434
18.500000, 18.157519
18.600000, 18.353026
18.700000, 18.551001
18.800000, 18.750464
18.900000, 18.950423
19.000000, 19.149877
19.100000, 19.347834
19.200000, 19.543315
19.300000, 19.735365
19.400000, 19.923066
19.500000, 20.105540
19.600000, 20.281964
19.700000, 20.451573
19.800000, 20.613674
19.900000, 20.767644
20.000000, 20.912945
20.100000, 21.049125
20.200000, 21.175821
20.300000, 21.292766
20.400000, 21.399793
20.500000, 21.496830
20.600000, 21.583907
20.700000, 21.661153
20.800000, 21.728795
20.900000, 21.787158
21.000000, 21.836656
21.100000, 21.877794
21.200000, 21.911161
21.300000, 21.937423
21.400000, 21.957315
21.500000, 21.971639
21.600000, 21.981250
21.700000, 21.987053
21.800000, 21.989987
21.900000, 21.991022
22.000000, 21.991149
22.100000, 21.991363
22.200000, 21.992664
22.300000, 21.996035
22.400000, 22.002444
22.500000, 22.012825
22.600000, 22.028074
22.700000, 22.049038
22.800000, 22.076505
22.900000, 22.111202
23.000000, 22.153780
23.100000, 22.204813
23.200000, 22.264790
23.300000, 22.334112
23.400000, 22.413084
23.500000, 22.501918
23.600000, 22.600724
23.700000, 22.709514
23.800000, 22.828202
23.900000, 22.956599
24.000000, 23.094422
24.100000, 23.241293
24.200000, 23.396744
24.300000, 23.560221
24.400000, 23.731090
24.500000, 23.908642
24.600000, 24.092103
24.700000, 24.280639
24.800000, 24.473365
24.900000, 24.669354
25.000000, 24.867648
25.100000, 25.067265
25.200000, 25.267208
25.300000, 25.466480
25.400000, 25.664089
25.500000, 25.859058
25.600000, 26.050441
25.700000, 26.237322
25.800000, 26.418835
25.900000, 26.594165
26.000000, 26.762558
26.100000, 26.923333
26.200000, 27.075881
26.300000, 27.219678
26.400000, 27.354285
26.500000, 27.479358
26.600000, 27.594645
26.700000, 27.699994
26.800000, 27.795351
26.900000, 27.880763
27.000000, 27.956376
27.100000, 28.022433
27.200000, 28.079273
27.300000, 28.127328
27.400000, 28.167116
27.500000, 28.199240
27.600000, 28.224377
27.700000, 28.243276
27.800000, 28.256746
27.900000, 28.265653
28.000000, 28.270906
28.100000, 28.273452
28.200000, 28.274265
28.300000, 28.274337
28.400000, 28.274664
28.500000, 28.276244
28.600000, 28.280060
28.700000, 28.287072
28.800000, 28.298211
28.900000, 28.314363
29.000000, 28.336366
29.100000, 28.365000
29.200000, 28.400979
29.300000, 28.444940
29.400000, 28.497445
29.500000, 28.558969
29.600000, 28.629894
29.700000, 28.710513
29.800000, 28.801018
29.900000, 28.901505
30.000000, 29.011968
30.100000, 29.132304
30.200000, 29.262308
30.300000, 29.401682
30.400000, 29.550031
30.500000, 29.706873
30.600000, 29.871639
30.700000, 30.043683
30.800000, 30.222285
30.900000, 30.406659
31.000000, 30.595962
31.100000, 30.789303
31.200000, 30.985747
31.300000, 31.184333
31.400000, 31.384074
31.500000, 31.583974
31.600000, 31.783036
31.700000, 31.980268
31.800000, 32.174700
31.900000, 32.365388
32.000000, 32.551427
32.100000, 32.731955
32.200000, 32.906169
32.300000, 33.073328
32.400000, 33.232759
32.500000, 33.383870
32.600000, 33.526150
32.700000, 33.659176
32.800000, 33.782618
32.900000, 33.896242
33.000000, 33.999912
33.100000, 34.093591
33.200000, 34.177343
33.300000, 34.251329
33.400000, 34.315810
33.500000, 34.371140
33.600000, 34.417766
33.700000, 34.456222
33.800000, 34.487121
33.900000, 34.511155
34.000000, 34.529083
34.100000, 34.541724
34.200000, 34.549951
34.300000, 34.554682
34.400000, 34.556869
34.500000, 34.557487
34.600000, 34.557532
34.700000, 34.558001
34.800000, 34.559888
34.900000, 34.564175
35.000000, 34.571817
35.100000, 34.583738
35.200000, 34.600817
35.300000, 34.623882
35.400000, 34.653703
35.500000, 34.690981
35.600000, 34.736343
35.700000, 34.790333
35.800000, 34.853413
35.900000, 34.925951
36.000000, 35.008221
36.100000, 35.100401
36.200000, 35.202568
36.300000, 35.314702
36.400000, 35.436680
36.500000, 35.568283
36.600000, 35.709196
36.700000, 35.859009
36.800000, 36.017225
36.900000, 36.183263
37.000000, 36.356462
37.100000, 36.536091
37.200000, 36.721354
37.300000, 36.911400
37.400000, 37.105328
37.500000, 37.302201
37.600000, 37.501050
37.700000, 37.700888
37.800000, 37.900717
37.900000, 38.099540
38.000000, 38.296369
38.100000, 38.490236
38.200000, 38.680205
38.300000, 38.865375
38.400000, 39.044897
38.500000, 39.217975
38.600000, 39.383879
38.700000, 39.541951
38.800000, 39.691610
38.900000, 39.832361
39.000000, 39.963795
39.100000, 40.085600
39.200000, 40.197557
39.300000, 40.299547
39.400000, 40.391550
39.500000, 40.473645
39.600000, 40.546013
39.700000, 40.608927
39.800000, 40.662761
39.900000, 40.707973
40.000000, 40.745113
40.100000, 40.774808
40.200000, 40.797760
40.300000, 40.814740
40.400000, 40.826577
40.500000, 40.834151
40.600000, 40.838387
40.700000, 40.840241
40.800000, 40.840693
40.900000, 40.840739
41.000000, 40.841377
41.100000, 40.843600
41.200000, 40.848385
41.300000, 40.856683
41.400000, 40.869411
41.500000, 40.887440
41.600000, 40.911589
41.700000, 40.942617
41.800000, 40.981213
41.900000, 41.027989
42.000000, 41.083478
42.100000, 41.148125
42.200000, 41.222283
42.300000, 41.306210
42.400000, 41.400066
42.500000, 41.503913
42.600000, 41.617713
42.700000, 41.741328
42.800000, 41.874521
42.900000, 42.016962
43.000000, 42.168225
43.100000, 42.327800
43.200000, 42.495089
43.300000, 42.669422
43.400000, 42.850056
43.500000, 43.036184
43.600000, 43.226947
43.700000, 43.421437
43.800000, 43.618711
43.900000, 43.817796
44.000000, 44.017702
44.100000, 44.217431
44.200000, 44.415987
44.300000, 44.612385
44.400000, 44.805662
44.500000, 44.994885
44.600000, 45.179164
44.700000, 45.357656
44.800000, 45.529577
44.900000, 45.694208
45.000000, 45.850904
45.100000, 45.999097
45.200000, 46.138307
45.300000, 46.268142
45.400000, 46.388304
45.500000, 46.498591
45.600000, 46.598900
45.700000, 46.689229
45.800000, 46.769673
45.900000, 46.840429
46.000000, 46.901788
46.100000, 46.954137
46.200000, 46.997952
46.300000, 47.033794
46.400000, 47.062304
46.500000, 47.084197
46.600000, 47.100252
46.700000, 47.111309
46.800000, 47.118257
46.900000, 47.122024
47.000000, 47.123573
47.100000, 47.123888
47.200000, 47.123963
47.300000, 47.124799
47.400000, 47.127385
47.500000, 47.132695
47.600000, 47.141675
47.700000, 47.155234
47.800000, 47.174236
47.900000, 47.199491
48.000000, 47.231745
48.100000, 47.271676
48.200000, 47.319882
48.300000, 47.376883
48.400000, 47.443107
48.500000, 47.518892
48.600000, 47.604479
48.700000, 47.700014
48.800000, 47.805540
48.900000, 47.921003
49.000000, 48.046247
49.100000, 48.181021
49.200000, 48.324977
49.300000, 48.477676
49.400000, 48.638592
49.500000, 48.807115
49.600000, 48.982561
49.700000, 49.164177
49.800000, 49.351146
49.900000, 49.542600
50.000000, 49.737625
50.100000, 49.935272
50.200000, 50.134564
50.300000, 50.334511
50.400000, 50.534112
50.500000, 50.732374
50.600000, 50.928313
50.700000, 51.120973
50.800000, 51.309426
50.900000, 51.492789
51.000000, 51.670229
51.100000, 51.840973
51.200000, 52.004312
51.300000, 52.159616
51.400000, 52.306330
51.500000, 52.443989
51.600000, 52.572216
51.700000, 52.690728
51.800000, 52.799342
51.900000, 52.897970
52.000000, 52.986628
52.100000, 53.065427
52.200000, 53.134579
52.300000, 53.194394
52.400000, 53.245273
52.500000, 53.287705
52.600000, 53.322267
52.700000, 53.349613
52.800000, 53.370468
52.900000, 53.385622
53.000000, 53.395925
53.100000, 53.402272
53.200000, 53.405598
53.300000, 53.406871
53.400000, 53.407075
53.500000, 53.407209
53.600000, 53.408270
53.700000, 53.411246
53.800000, 53.417108
53.900000, 53.426795
54.000000, 53.441211
54.100000, 53.461210
54.200000, 53.487591
54.300000, 53.521091
54.400000, 53.562373
54.500000, 53.612024
54.600000, 53.670548
54.700000, 53.738358
54.800000, 53.815777
54.900000, 53.903030
55.000000, 54.000245
55.100000, 54.107448
55.200000, 54.224569
55.300000, 54.351436
55.400000, 54.487781
55.500000, 54.633240
55.600000, 54.787360
55.700000, 54.949600
55.800000, 55.119337
55.900000, 55.295875
56.000000, 55.478449
56.100000, 55.666234
56.200000, 55.858354
56.300000, 56.053887
56.400000, 56.251879
56.500000, 56.451351
56.600000, 56.651310
56.700000, 56.850755
56.800000, 57.048695
56.900000, 57.244149
57.000000, 57.436165
57.100000, 57.623823
57.200000, 57.806246
57.300000, 57.982613
57.400000, 58.152159
57.500000, 58.314190
57.600000, 58.468085
57.700000, 58.613307
57.800000, 58.749404
57.900000, 58.876014
58.000000, 58.992873
58.100000, 59.099811
58.200000, 59.196759
58.300000, 59.283748
58.400000, 59.360907
58.500000, 59.428466
58.600000, 59.486747
58.700000, 59.536169
58.800000, 59.577236
58.900000, 59.610537
59.000000, 59.636738
59.100000, 59.656577
59.200000, 59.670856
59.300000, 59.680429
59.400000, 59.686202
59.500000, 59.689115
59.600000, 59.690138
59.700000, 59.690261
59.800000, 59.690481
59.900000, 59.691795
60.000000, 59.695189
60.100000, 59.701630
60.200000, 59.712050
60.300000, 59.727346
60.400000, 59.748364
60.500000, 59.775892
60.600000, 59.810656
60.700000, 59.853307
60.800000, 59.904417
60.900000, 59.964476
61.000000, 60.033882
61.100000, 60.112942
61.200000, 60.201863
61.300000, 60.300758
61.400000, 60.409637
61.500000, 60.528411
61.600000, 60.656893
61.700000, 60.794799
61.800000, 60.941748
61.900000, 61.097274
62.000000, 61.260819
62.100000, 61.431751
62.200000, 61.609359
62.300000, 61.792869
62.400000, 61.981446
62.500000, 62.174204
62.600000, 62.370219
62.700000, 62.568529
62.800000, 62.768152
62.900000, 62.968094
63.000000, 63.167356
63.100000, 63.364945
63.200000, 63.559887
63.300000, 63.751233
63.400000, 63.938071
63.500000, 64.119532
63.600000, 64.294804
63.700000, 64.463133
63.800000, 64.623837
63.900000, 64.776309
64.000000, 64.920026
64.100000, 65.054550
64.200000, 65.179537
64.300000, 65.294736
64.400000, 65.399996
64.500000, 65.495265
64.600000, 65.580589
64.700000, 65.656116
64.800000, 65.722089
64.900000, 65.778850
65.000000, 65.826829
65.100000, 65.866546
65.200000, 65.898605
65.300000, 65.923683
65.400000, 65.942530
65.500000, 65.955956
65.600000, 65.964826
65.700000, 65.970051
65.800000, 65.972577
65.900000, 65.973380
66.000000, 65.973449
66.100000, 65.973783
66.200000, 65.975379
66.300000, 65.979219
66.400000, 65.986264
66.500000, 65.997443
66.600000, 66.013643
66.700000, 66.035702
66.800000, 66.064398
66.900000, 66.100445
67.000000, 66.144480
67.100000, 66.197063
67.200000, 66.258668
67.300000, 66.329679
67.400000, 66.410385
67.500000, 66.500979
67.600000, 66.601554
67.700000, 66.712106
67.800000, 66.832528
67.900000, 66.962617
68.000000, 67.102072
68.100000, 67.250499
68.200000, 67.407414
68.300000, 67.572248
68.400000, 67.744354
68.500000, 67.923010
68.600000, 68.107432
68.700000, 68.296775
68.800000, 68.490147
68.900000, 68.686615
69.000000, 68.885215
69.100000, 69.084962
69.200000, 69.284859
69.300000, 69.483909
69.400000, 69.681121
69.500000, 69.875524
69.600000, 70.066174
69.700000, 70.252167
69.800000, 70.432643
69.900000, 70.606798
70.000000, 70.773891
70.100000, 70.933251
70.200000, 71.084285
70.300000, 71.226485
70.400000, 71.359427
70.500000, 71.482782
70.600000, 71.596318
70.700000, 71.699900
70.800000, 71.793490
70.900000, 71.877154
71.000000, 71.951055
71.100000, 72.015453
71.200000, 72.070704
71.300000, 72.117255
71.400000, 72.155640
71.500000, 72.186476
71.600000, 72.210452
71.700000, 72.228329
71.800000, 72.240927
71.900000, 72.249119
72.000000, 72.253823
72.100000, 72.255991
72.200000, 72.256601
72.300000, 72.256645
72.400000, 72.257122
72.500000, 72.259026
72.600000, 72.263339
72.700000, 72.271015
72.800000, 72.282977
72.900000, 72.300106
73.000000, 72.323228
73.100000, 72.353112
73.200000, 72.390460
73.300000, 72.435895
73.400000, 72.489965
73.500000, 72.553127
73.600000, 72.625750
73.700000, 72.708108
73.800000, 72.800376
73.900000, 72.902632
74.000000, 73.014854
74.100000, 73.136918
74.200000, 73.268606
74.300000, 73.409600
74.400000, 73.559490
74.500000, 73.717778
74.600000, 73.883883
74.700000, 74.057142
74.800000, 74.236824
74.900000, 74.422134
75.000000, 74.612218
75.100000, 74.806177
75.200000, 75.003072
75.300000, 75.201934
75.400000, 75.401776
75.500000, 75.601601
75.600000, 75.800410
75.700000, 75.997217
75.800000, 76.191054
75.900000, 76.380984
76.000000, 76.566108
76.100000, 76.745575
76.200000, 76.918593
76.300000, 77.084430
76.400000, 77.242429
76.500000, 77.392012
76.600000, 77.532681
76.700000, 77.664032
76.800000, 77.785750
76.900000, 77.897619
77.000000, 77.999520
77.100000, 78.091434
77.200000, 78.173443
77.300000, 78.245724
77.400000, 78.308557
77.500000, 78.362311
77.600000, 78.407450
77.700000, 78.444521
77.800000, 78.474152
77.900000, 78.497048
78.000000, 78.513978
78.100000, 78.525773
78.200000, 78.533314
78.300000, 78.537524
78.400000, 78.539361
78.500000, 78.539806
78.600000, 78.539853
78.700000, 78.540500
78.800000, 78.542742
78.900000, 78.547554
79.000000, 78.555887
79.100000, 78.568658
79.200000, 78.586738
79.300000, 78.610945
79.400000, 78.642038
79.500000, 78.680703
79.600000, 78.727555
79.700000, 78.783124
79.800000, 78.847854
79.900000, 78.922097
80.000000, 79.006111
80.100000, 79.100056
80.200000, 79.203992
80.300000, 79.317880
80.400000, 79.441581
80.500000, 79.574858
80.600000, 79.717379
80.700000, 79.868719
80.800000, 80.028364
80.900000, 80.195720
81.000000, 80.370112
81.100000, 80.550798
81.200000, 80.736972
81.300000, 80.927771
81.400000, 81.122291
81.500000, 81.319584
81.600000, 81.518681
81.700000, 81.718590
81.800000, 81.918313
81.900000, 82.116854
82.000000, 82.313229
82.100000, 82.506474
82.200000, 82.695657
82.300000, 82.879888
82.400000, 83.058325
82.500000, 83.230184
82.600000, 83.394747
82.700000, 83.551370
82.800000, 83.699486
82.900000, 83.838614
83.000000, 83.968364
83.100000, 84.088439
83.200000, 84.198638
83.300000, 84.298858
83.400000, 84.389098
83.500000, 84.469456
83.600000, 84.540127
83.700000, 84.601404
83.800000, 84.653675
83.900000, 84.697416
84.000000, 84.733190
84.100000, 84.761638
84.200000, 84.783476
84.300000, 84.799483
84.400000, 84.810499
84.500000, 84.817414
84.600000, 84.821158
84.700000, 84.822692
84.800000, 84.823000
84.900000, 84.823078
85.000000, 84.823924
85.100000, 84.826530
85.200000, 84.831869
85.300000, 84.840885
85.400000, 84.854489
85.500000, 84.873544
85.600000, 84.898858
85.700000, 84.931177
85.800000, 84.971178
